land_size,group,estimate,se,ci_lo,ci_hi,pct_penalty,n_obs
Marginal,SC,-0.010659266631969718,0.013591614935284381,-0.0372988319051271,0.01598029864118767,-1.0602657963570183,34274
Marginal,ST,0.011641184931777569,0.01782595455184041,-0.023297685989829633,0.046580055853384775,1.1709207222180273,34274
Marginal,OBC,0.04024236786362994,0.011250492070879307,0.0181914034047065,0.06229333232255338,4.106306384838976,34274
Small,SC,-0.015995090929848875,0.011308734771491524,-0.03816021108197226,0.006170029222274512,-1.5867848782804894,23345
Small,ST,-0.019759782091945902,0.016595808190682404,-0.05228756614568342,0.01276800196179161,-1.9565837135193442,23345
Small,OBC,-3.6758986729248304e-4,0.009539188243147177,-0.019064398823860948,0.018329219089275983,-0.03675223144147255,23345
Semi-Medium,SC,-0.0084084360722285,0.017438680417250038,-0.042588249690038577,0.025771377545581578,-0.8373184047630544,13244
Semi-Medium,ST,-0.008296760799507275,0.01895058568631768,-0.04543990874468992,0.028846387145675376,-0.8262437668820399,13244
Semi-Medium,OBC,-0.0017596887162066755,0.009622755892292697,-0.02062029026510036,0.01710091283268701,-0.17581413717656647,13244
Medium,SC,0.0805766125969988,0.03341440344548203,0.015084381843854022,0.14606884335014358,8.391188476573674,3174
Medium,ST,-0.03771072020483225,0.03396518694180678,-0.10428248661077354,0.028861046201109034,-3.70085254213125,3174
Medium,OBC,-0.004189434406424516,0.016761567052184772,-0.03704210582870667,0.028663237015857636,-0.4180670968322642,3174
Large,SC,-0.8068479025908759,0.12291370955158437,-1.0477587733119813,-0.5659370318697705,-55.37374855030567,447
Large,ST,0.09327034101567505,0.046406704168081986,0.0023132008462343617,0.18422748118511573,9.775846429546498,447
Large,OBC,-0.06065495628471168,0.05186328010471561,-0.16230698528995427,0.04099707272053091,-5.8852079066533225,447
