crop_group,General,OBC,SC,ST
Cereals,46.973661275737875,51.8231826405263,54.11448707352906,42.730083842186346
Oilseeds,10.749345096779082,10.90000077307387,10.23541439417466,8.913134411673289
Pulses,8.000555751446226,10.50261895122898,10.2733118004838,8.955464469948646
Vegetables,7.820966372805069,5.782341116881393,8.653713276411311,15.060474694654918
Fibres,6.160286744466876,5.647270193063659,5.4261068147935925,6.848492867821054
Sugar Crops,4.88062692238464,4.28572024961925,2.8038477194221154,0.7347289843759359
Condiments & Spices,4.097655163542744,3.0872341973446726,1.4612780144032527,6.2566241264642555
Tubers,3.615225102752026,2.3061970927009328,2.8492653737963978,3.952863863925673
Fruits,3.4028695583945314,2.2610123396338846,1.983089491351929,3.525499613633011
Fodder,1.7842988163449554,1.0702157561505294,0.978553850094552,0.5471796251467648
Plantation,1.7118570719228305,1.1556647706219605,0.3476817236849869,1.5960723378076056
Other Non-Food,0.3073430250181231,0.2405504402332068,0.1635519507299118,0.6440474686553161
Flowers,0.22415960207439736,0.4249751151007326,0.10953552817180344,0.06382448169156346
Dyes & Drugs,0.12960334544138255,0.2196585730835255,0.32258890169918025,0.00311917631986152
Aromatic Plants,0.09606136849718568,0.18914344702299762,0.20773145693954204,0.011847951091778261
Medicinal Plants,0.04464403554601725,0.09355861608424157,0.0680637495064585,0.04805788450517624
Other Food Crops,8.40746846044333e-4,0.010655727629855288,0.001778880807444507,0.10848420009880672
