channel,sample_type,group,estimate,se,pct_penalty,p_value,n_obs
APMC Mandi,Single-Channel Only,SC,-0.029,0.0239,-2.86,0.226,2950
APMC Mandi,Single-Channel Only,ST,-0.0239,0.0256,-2.36,0.3511,2950
APMC Mandi,Single-Channel Only,OBC,-0.035,0.0179,-3.44,0.0504,2950
APMC Mandi,Unrestricted,SC,-0.0343,0.0227,-3.38,0.131,3132
APMC Mandi,Unrestricted,ST,-0.0243,0.0249,-2.4,0.3305,3132
APMC Mandi,Unrestricted,OBC,-0.0403,0.0177,-3.95,0.0229,3132
Local Trader,Single-Channel Only,SC,-0.0201,0.0109,-1.99,0.0647,56218
Local Trader,Single-Channel Only,ST,-0.0214,0.0143,-2.12,0.1354,56218
Local Trader,Single-Channel Only,OBC,0.0111,0.0085,1.12,0.1921,56218
Local Trader,Unrestricted,SC,-0.0195,0.0108,-1.93,0.0711,59158
Local Trader,Unrestricted,ST,-0.0127,0.0144,-1.26,0.379,59158
Local Trader,Unrestricted,OBC,0.0114,0.0085,1.15,0.1781,59158
Government,Single-Channel Only,SC,-0.0383,0.0211,-3.76,0.0707,2391
Government,Single-Channel Only,ST,-0.0366,0.0283,-3.59,0.1959,2391
Government,Single-Channel Only,OBC,0.0034,0.0194,0.34,0.8615,2391
Government,Unrestricted,SC,-0.0369,0.0208,-3.62,0.0765,2513
Government,Unrestricted,ST,-0.0379,0.0274,-3.72,0.1675,2513
Government,Unrestricted,OBC,0.0066,0.0189,0.67,0.7254,2513
Cooperative/FPO,Single-Channel Only,SC,0.0644,0.0259,6.65,0.0132,1370
Cooperative/FPO,Single-Channel Only,ST,0.1026,0.0366,10.8,0.0053,1370
Cooperative/FPO,Single-Channel Only,OBC,0.0513,0.0193,5.26,0.0081,1370
Cooperative/FPO,Unrestricted,SC,0.0698,0.0263,7.23,0.0083,1422
Cooperative/FPO,Unrestricted,ST,0.1012,0.0343,10.65,0.0034,1422
Cooperative/FPO,Unrestricted,OBC,0.0517,0.0192,5.31,0.0073,1422
